Time,Active,Confirmed,Deaths,Recovered
2020-05-15,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-16,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-17,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-18,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-19,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-20,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-21,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-22,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-23,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-24,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-25,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-26,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-27,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-28,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-29,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-30,9.540089086859695,39.0,0.0,29.459910913140305
2020-05-31,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-01,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-02,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-03,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-04,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-05,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-06,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-07,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-08,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-09,9.540089086859695,39.0,0.0,29.459910913140305
2020-06-10,10.02932442464737,41.0,0.0,30.97067557535263
2020-06-11,10.02932442464737,41.0,0.0,30.97067557535263
2020-06-12,10.02932442464737,41.0,0.0,30.97067557535263
2020-06-13,15.900148478099489,65.0,0.0,49.09985152190051
2020-06-14,23.483296213808472,96.0,0.0,72.51670378619153
2020-06-15,26.66332590942838,109.0,0.0,82.33667409057162
2020-06-16,29.598737936154436,121.0,0.0,91.40126206384556
2020-06-17,32.044914625092815,131.0,0.0,98.95508537490718
2020-06-18,34.73570898292503,142.0,0.0,107.26429101707497
2020-06-19,34.73570898292503,142.0,0.0,107.26429101707497
2020-06-20,34.98032665181887,143.0,0.0,108.01967334818113
2020-06-21,34.98032665181887,143.0,0.0,108.01967334818113
2020-06-22,34.98032665181887,143.0,0.0,108.01967334818113
2020-06-23,34.98032665181887,143.0,0.0,108.01967334818113
2020-06-24,35.22494432071271,144.0,0.0,108.77505567928729
2020-06-25,35.22494432071271,144.0,0.0,108.77505567928729
2020-06-26,40.851150705270996,167.0,0.0,126.148849294729
2020-06-27,46.72197475872312,191.0,0.0,144.27802524127688
