Date,Temperature
2020-01-01,-18.988466297496426
2020-01-02,-18.887254749644864
2020-01-03,-19.802625344016313
2020-01-04,-20.133767422762762
2020-01-05,-20.298850874467306
2020-01-06,-20.839436479048274
2020-01-07,-20.97819435813208
2020-01-08,-20.640156693892024
2020-01-09,-20.029827325994294
2020-01-10,-19.835878406871426
2020-01-11,-19.62597573020239
2020-01-12,-19.442580344460204
2020-01-13,-19.01480158025566
2020-01-14,-19.46388577547938
2020-01-15,-19.536824174360774
2020-01-16,-19.639385431463044
2020-01-17,-18.957153875177536
2020-01-18,-18.677014992453813
2020-01-19,-20.234383877840887
2020-01-20,-20.719428877396993
2020-01-21,-20.433153187144864
2020-01-22,-19.443375188654098
2020-01-23,-19.61052689985793
2020-01-24,-19.294238558682505
2020-01-25,-18.58751664595168
2020-01-26,-18.7221574263139
2020-01-27,-19.481974376331653
2020-01-28,-19.24849132191049
2020-01-29,-20.104913052645575
2020-01-30,-19.4112443403764
2020-01-31,-18.852664462002817
2020-02-01,-19.148080166903387
2020-02-02,-19.510013094815317
2020-02-03,-19.07003839666191
2020-02-04,-17.607422429865036
2020-02-05,-17.18893071954898
2020-02-06,-17.855143321644153
2020-02-07,-17.776878218217306
2020-02-08,-17.800397560813188
2020-02-09,-17.72406477494671
2020-02-10,-17.23113236860793
2020-02-11,-16.93335432572796
2020-02-12,-16.848050759055376
2020-02-13,-17.326546963778387
2020-02-14,-17.251887096058216
2020-02-15,-16.336463789506368
2020-02-16,-16.326972822709493
2020-02-17,-15.728007091175403
2020-02-18,-14.617505715110063
2020-02-19,-13.927156483043301
2020-02-20,-13.673990977894153
2020-02-21,-13.453444602272704
2020-02-22,-12.388997025923272
2020-02-23,-12.017740977894153
2020-02-24,-12.422942282936766
2020-02-25,-12.20706925825637
2020-02-26,-12.325555142489323
2020-02-27,-11.898561512340176
2020-02-28,-12.21697082519529
2020-02-29,-10.645117187499977
2020-03-01,-10.62096946022725
2020-03-02,-10.040242143110772
2020-03-03,-11.052142611416881
2020-03-04,-11.267573131214466
2020-03-05,-10.633589865944579
2020-03-06,-10.535701959783358
2020-03-07,-10.590809770063897
2020-03-08,-10.671141745827391
2020-03-09,-9.629764071377819
2020-03-10,-7.618730579722989
2020-03-11,-7.514235617897705
2020-03-12,-7.709797807173273
2020-03-13,-6.474923428622136
2020-03-14,-5.845204301313898
2020-03-15,-4.421420565518443
2020-03-16,-3.7300836736505456
2020-03-17,-3.9480735085227043
2020-03-18,-3.75304953835225
2020-03-19,-4.914665083451681
2020-03-20,-4.084767289595148
2020-03-21,-4.048892489346568
2020-03-22,-3.8650074351917385
2020-03-23,-3.153010142933216
2020-03-24,-2.2184814453124773
2020-03-25,-1.3618363813920227
2020-03-26,-0.7313432173295227
2020-03-27,-0.8396639737215682
2020-03-28,-0.20182162198151135
2020-03-29,-0.18395774147725
2020-03-30,-0.12534457120026135
2020-03-31,-0.2693265047940114
2020-04-01,0.11745328036223865
2020-04-02,0.20089388760655683
2020-04-03,1.2505265669389432
2020-04-04,0.4830621892755909
2020-04-05,-0.2918401544744091
2020-04-06,0.7043368252841137
2020-04-07,1.1443364923650796
2020-04-08,1.6752480246804204
2020-04-09,1.3202425870028636
2020-04-10,1.14868386008525
2020-04-11,2.6960970791903636
2020-04-12,4.211272638494341
2020-04-13,4.851836603338091
2020-04-14,5.761998401988659
2020-04-15,4.743737792968773
2020-04-16,5.761465731534114
2020-04-17,5.362567693536954
2020-04-18,5.040682151100875
2020-04-19,4.077386474609398
2020-04-20,4.523531272194625
2020-04-21,6.092656360973034
2020-04-22,6.185429798473034
2020-04-23,6.124999445134966
2020-04-24,5.788559792258545
2020-04-25,7.228512295809682
2020-04-26,9.03013971502133
2020-04-27,9.998043545809681
2020-04-28,10.10274380770599
2020-04-29,9.553518954190364
2020-04-30,9.393437610973034
2020-05-01,9.704175914417636
2020-05-02,9.290268776633546
2020-05-03,9.244567316228716
2020-05-04,7.957280384410534
2020-05-05,8.817665238813943
2020-05-06,9.75512917258525
2020-05-07,9.184772283380704
2020-05-08,8.364709472656273
2020-05-09,9.054101562500023
2020-05-10,8.947450949929
2020-05-11,8.340447998046898
2020-05-12,9.34030650745741
2020-05-13,9.724653209339511
2020-05-14,10.661612215909114
2020-05-15,11.569271573153431
2020-05-16,12.487093283913374
2020-05-17,12.284026544744341
2020-05-18,10.895290860262806
2020-05-19,11.00011041814633
2020-05-20,11.551005415482978
2020-05-21,11.804279119318204
2020-05-22,12.65623834783383
2020-05-23,12.889692271839511
2020-05-24,13.092542613636386
2020-05-25,13.513557572798318
2020-05-26,14.311004083806841
2020-05-27,14.251680686257124
2020-05-28,12.742730712890648
2020-05-29,14.03845436789775
2020-05-30,15.347211803089511
2020-05-31,15.645870694247181
2020-06-01,15.497272283380704
2020-06-02,15.22752741033383
2020-06-03,15.652201704545478
2020-06-04,15.883868963068204
2020-06-05,15.798719371448886
2020-06-06,15.453274258700306
2020-06-07,14.985162353515648
2020-06-08,14.793448153409114
2020-06-09,14.980906538529853
2020-06-10,16.3275251908736
2020-06-11,17.216610440340933
2020-06-12,17.533915571732976
2020-06-13,18.15107255415485
2020-06-14,18.706600674715933
2020-06-15,18.892006059126444
2020-06-16,18.755756170099456
2020-06-17,18.79416392933241
2020-06-18,19.260150701349456
2020-06-19,19.495069469105136
2020-06-20,19.28477283824576
2020-06-21,18.82215964577417
2020-06-22,18.647615744850874
2020-06-23,18.694443581321046
2020-06-24,18.90739246715201
2020-06-25,19.241432328657694
2020-06-26,19.183010586825308
