Date,Temperature
2020-01-01,-21.7871945467862
2020-01-02,-21.548325139825973
2020-01-03,-21.319583407315317
2020-01-04,-21.32207197709515
2020-01-05,-21.37837413441049
2020-01-06,-21.371113725142024
2020-01-07,-21.556942194158356
2020-01-08,-21.855836902965176
2020-01-09,-21.88561234907668
2020-01-10,-21.86989857066759
2020-01-11,-21.748123723810348
2020-01-12,-21.664146284623556
2020-01-13,-21.589614035866454
2020-01-14,-21.726869617808926
2020-01-15,-22.05518049760296
2020-01-16,-22.281619540127817
2020-01-17,-22.52593910910864
2020-01-18,-22.734780606356512
2020-01-19,-22.949285888671852
2020-01-20,-22.944317072088044
2020-01-21,-22.984845803000688
2020-01-22,-23.122029252485774
2020-01-23,-23.57766085537995
2020-01-24,-24.03541897860438
2020-01-25,-24.264974975585915
2020-01-26,-24.79257257634941
2020-01-27,-25.210061368075262
2020-01-28,-25.504963822798274
2020-01-29,-25.850042724609352
2020-01-30,-26.147802734374977
2020-01-31,-26.49623302112924
2020-02-01,-26.749458174271993
2020-02-02,-26.97752297141333
2020-02-03,-27.313367531516313
2020-02-04,-27.61291420676489
2020-02-05,-27.668897316672563
2020-02-06,-27.857157481800403
2020-02-07,-28.209224909002106
2020-02-08,-28.250404219193868
2020-02-09,-28.37604231400921
2020-02-10,-28.684049294211626
2020-02-11,-29.017423317649126
2020-02-12,-29.507789473100118
2020-02-13,-29.929776833274126
2020-02-14,-30.320994151722278
2020-02-15,-30.647407393021993
2020-02-16,-30.818414029208075
2020-02-17,-30.83571749600495
2020-02-18,-31.018051702325973
2020-02-19,-31.389690607244294
2020-02-20,-31.62260353781958
2020-02-21,-31.46815684925424
2020-02-22,-31.471843927556794
2020-02-23,-31.745349398526255
2020-02-24,-31.971526267311766
2020-02-25,-32.683724698153384
2020-02-26,-33.25142239657313
2020-02-27,-33.925014703923985
2020-02-28,-34.48077031915836
2020-02-29,-33.98111572265623
2020-03-01,-34.76806696111503
2020-03-02,-34.72519531249998
2020-03-03,-34.752462768554665
2020-03-04,-35.092740700461626
2020-03-05,-35.61154923872512
2020-03-06,-36.253687633167594
2020-03-07,-36.85078208229756
2020-03-08,-36.855915971235774
2020-03-09,-36.93731190074572
2020-03-10,-37.09270463423293
2020-03-11,-37.09704645330253
2020-03-12,-37.41268976384941
2020-03-13,-38.22049699263137
2020-03-14,-38.925132612748556
2020-03-15,-39.37669982910154
2020-03-16,-39.63299477317114
2020-03-17,-39.634850796786196
2020-03-18,-39.3689025878906
2020-03-19,-39.58464244495736
2020-03-20,-39.792941561612196
2020-03-21,-40.16924688165836
2020-03-22,-40.42516867897725
2020-03-23,-40.4759416060014
2020-03-24,-40.628435169566735
2020-03-25,-40.77597240101205
2020-03-26,-41.04387096058236
2020-03-27,-41.29742070978336
2020-03-28,-40.866838489879235
2020-03-29,-40.81499883478336
2020-03-30,-41.034016557173274
2020-03-31,-41.573989035866454
2020-04-01,-42.295616011186056
2020-04-02,-42.46892672452057
2020-04-03,-42.34893715598364
2020-04-04,-42.28626237349074
2020-04-05,-41.98813615278762
2020-04-06,-42.082101162997134
2020-04-07,-42.38782209916546
2020-04-08,-42.94525618119671
2020-04-09,-43.35624611594458
2020-04-10,-43.79593505859373
2020-04-11,-44.020952259410485
2020-04-12,-43.619777887517735
2020-04-13,-42.995259232954524
2020-04-14,-42.62378123890267
2020-04-15,-42.14374250932171
2020-04-16,-42.010269719904095
2020-04-17,-41.77845264781603
2020-04-18,-42.015712946111485
2020-04-19,-42.34136047363279
2020-04-20,-42.41234852183947
2020-04-21,-42.2877091841264
2020-04-22,-42.00619978471234
2020-04-23,-42.117318448153384
2020-04-24,-41.7361164439808
2020-04-25,-41.579781827059634
2020-04-26,-41.507043179598696
2020-04-27,-41.85379777388137
2020-04-28,-42.63982516202057
2020-04-29,-43.24602494673293
2020-04-30,-43.62971135919742
2020-05-01,-43.29951255104756
2020-05-02,-43.07343000932171
2020-05-03,-42.984940130060345
2020-05-04,-42.99358215332029
2020-05-05,-43.20483176491475
2020-05-06,-42.77634138627484
2020-05-07,-42.434343372691735
2020-05-08,-41.990193314985774
2020-05-09,-41.76123102361503
2020-05-10,-41.57208723588421
2020-05-11,-41.19072293368251
2020-05-12,-41.116422341086626
2020-05-13,-41.567411110617876
2020-05-14,-42.05524985573506
2020-05-15,-42.18519370339131
2020-05-16,-42.477013882723696
2020-05-17,-43.349931751597985
2020-05-18,-43.990928511186056
2020-05-19,-44.34533746892753
2020-05-20,-44.56738059303975
2020-05-21,-44.20561689897015
2020-05-22,-43.424827436967306
2020-05-23,-43.668779407847985
2020-05-24,-43.904128196022704
2020-05-25,-44.53446738503194
2020-05-26,-44.36309037642043
2020-05-27,-43.665183882279806
2020-05-28,-43.243010642311766
2020-05-29,-42.84435535777697
2020-05-30,-42.986715698242165
2020-05-31,-43.21854386763137
2020-06-01,-43.32346746271305
2020-06-02,-43.282738980379946
2020-06-03,-43.167611416903384
2020-06-04,-43.658476950905516
2020-06-05,-43.90941744717682
2020-06-06,-44.120503373579524
2020-06-07,-44.08967229669742
2020-06-08,-44.70788352272725
2020-06-09,-45.079612593217306
2020-06-10,-45.11706321022725
2020-06-11,-45.01855801669032
2020-06-12,-45.38267711292611
2020-06-13,-45.21992270729756
2020-06-14,-44.54235895330253
2020-06-15,-43.84442749023435
2020-06-16,-43.90525595925069
2020-06-17,-43.789936967329524
2020-06-18,-43.93553494540126
2020-06-19,-43.464321344548985
2020-06-20,-43.66981006969103
2020-06-21,-43.93720092773435
2020-06-22,-44.209983686967306
2020-06-23,-44.57846679687498
2020-06-24,-44.462794078480094
2020-06-25,-44.07261297052555
2020-06-26,-44.21463900479401
2020-06-27,-44.421828391335204
2020-06-28,-44.551847145774126
2020-06-29,-44.861532592773415
2020-06-30,-45.34931168989699
2020-07-01,-45.82932822487569
2020-07-02,-46.32764004794032
2020-07-03,-46.75921686345878
2020-07-04,-46.66873779296873
2020-07-05,-45.89865722656248
2020-07-06,-45.917260464754946
2020-07-07,-45.78332991166546
2020-07-08,-45.794815618341595
2020-07-09,-46.35064614035864
2020-07-10,-46.700954645330235
2020-07-11,-46.300924682617165
2020-07-12,-46.02231584028762
2020-07-13,-45.69644914106887
2020-07-14,-45.638087047230094
2020-07-15,-46.03386951793322
2020-07-16,-45.96649641557171
2020-07-17,-46.09616144353691
2020-07-18,-45.53685885342682
2020-07-19,-45.5723077947443
2020-07-20,-45.703445989435345
2020-07-21,-45.59226351651276
2020-07-22,-45.285613181374266
2020-07-23,-45.399264803799696
2020-07-24,-45.25998673872512
2020-07-25,-45.40550842285154
2020-07-26,-44.69706642844458
2020-07-27,-44.65988769531248
2020-07-28,-45.48418135209515
2020-07-29,-46.12653059525921
2020-07-30,-46.32464655095878
2020-07-31,-46.27117281827057
2020-08-01,-46.2120255903764
2020-08-02,-45.75993125221944
2020-08-03,-45.67847012606532
2020-08-04,-45.67807894620026
2020-08-05,-45.660043057528384
2020-08-06,-45.33810480291191
2020-08-07,-45.13951859907668
2020-08-08,-44.79082752574572
2020-08-09,-44.45007379705253
2020-08-10,-44.32011469060722
2020-08-11,-44.37586753151631
2020-08-12,-44.16265785910864
2020-08-13,-44.368061967329524
2020-08-14,-44.92320445667611
2020-08-15,-45.070945601029806
2020-08-16,-45.1778986150568
2020-08-17,-45.02502496892753
2020-08-18,-45.71835521351205
2020-08-19,-46.14336797540836
2020-08-20,-45.69633678089486
2020-08-21,-45.13833673650566
2020-08-22,-44.58587008389557
2020-08-23,-44.417880526455946
2020-08-24,-44.387967751242876
2020-08-25,-44.876297551935345
2020-08-26,-45.117946832830235
2020-08-27,-45.50380276766688
2020-08-28,-45.66118191805751
2020-08-29,-45.563260719992876
2020-08-30,-45.36826033158734
2020-08-31,-45.675668057528384
2020-09-01,-45.40945490056816
2020-09-02,-45.51475580388847
2020-09-03,-45.316422063654095
2020-09-04,-45.72193131880324
2020-09-05,-46.06302767666901
2020-09-06,-46.46887401234017
2020-09-07,-46.434384987571
2020-09-08,-46.339437866210915
2020-09-09,-45.92919006347654
2020-09-10,-46.12754599831319
2020-09-11,-46.026199895685345
2020-09-12,-46.104324895685345
2020-09-13,-45.72775740189984
2020-09-14,-45.35947126908734
2020-09-15,-45.225838955965884
2020-09-16,-45.438859974254235
2020-09-17,-45.1703205455433
2020-09-18,-45.2304582075639
2020-09-19,-44.956504683061056
2020-09-20,-44.720671775124266
2020-09-21,-44.38624073375353
2020-09-22,-44.18732854669742
2020-09-23,-44.162503884055376
2020-09-24,-43.87293506969103
2020-09-25,-43.69340570623222
2020-09-26,-43.208022238991454
2020-09-27,-42.86094027432526
2020-09-28,-41.84233010031958
2020-09-29,-40.81183887828478
2020-09-30,-39.92593994140623
2020-10-01,-39.9603693181818
2020-10-02,-40.13059220747512
2020-10-03,-40.13068098588421
2020-10-04,-39.62352738813918
2020-10-05,-39.60122736150566
2020-10-06,-39.98993946422228
2020-10-07,-40.412870094992876
2020-10-08,-40.45068414861503
2020-10-09,-40.35047135786574
2020-10-10,-40.37449285333805
2020-10-11,-40.558920288085915
2020-10-12,-40.38115816983307
2020-10-13,-40.373507967862196
2020-10-14,-40.65735889781603
2020-10-15,-40.69178411310367
2020-10-16,-40.07261435768819
2020-10-17,-39.2248859752308
2020-10-18,-38.232558371803954
2020-10-19,-37.47838717373932
2020-10-20,-37.05173478560012
2020-10-21,-36.77899364124642
2020-10-22,-36.82201371626418
2020-10-23,-36.68962152654472
2020-10-24,-36.45189930308947
2020-10-25,-35.97728299227626
2020-10-26,-35.73029313520949
2020-10-27,-35.61937006170097
2020-10-28,-35.6369689941406
2020-10-29,-35.57177373712711
2020-10-30,-35.41228748668322
2020-10-31,-34.69185208407313
2020-11-01,-34.493367143110774
2020-11-02,-34.38933271928265
2020-11-03,-33.50189680619671
2020-11-04,-32.71781283291901
2020-11-05,-31.898554576526966
2020-11-06,-31.216092751242876
2020-11-07,-30.640327314896993
