Date,Temperature
2020-01-01,-5.172558038884921
2020-01-02,-5.191284734552534
2020-01-03,-4.943806596235773
2020-01-04,-5.089489191228671
2020-01-05,-5.191298606178955
2020-01-06,-5.394151722301114
2020-01-07,-5.646720747514181
2020-01-08,-5.740215509588046
2020-01-09,-5.182695423472989
2020-01-10,-4.594424715909068
2020-01-11,-4.452531849254239
2020-01-12,-5.098383678089466
2020-01-13,-5.610585160688898
2020-01-14,-4.848957963423273
2020-01-15,-4.619757080078102
2020-01-16,-4.726332785866455
2020-01-17,-4.712222567471568
2020-01-18,-4.664265580610773
2020-01-19,-4.493791614879239
2020-01-20,-4.465585049715886
2020-01-21,-4.966522771661909
2020-01-22,-5.094746537642023
2020-01-23,-5.054799027876398
2020-01-24,-4.639826549183216
2020-01-25,-3.9312499999999773
2020-01-26,-3.748136208274125
2020-01-27,-3.7661332563920227
2020-01-28,-3.99767844460225
2020-01-29,-3.8988791725852043
2020-01-30,-3.741486150568159
2020-01-31,-3.680412153764182
2020-02-01,-3.9566128817471364
2020-02-02,-4.240648304332364
2020-02-03,-3.9939081365411706
2020-02-04,-4.006778231534068
2020-02-05,-4.024422940340886
2020-02-06,-3.6444208318536706
2020-02-07,-3.5391129927201477
2020-02-08,-4.002530739524125
2020-02-09,-4.158256392045431
2020-02-10,-4.035828191583784
2020-02-11,-4.014110773259921
2020-02-12,-3.870450661399125
2020-02-13,-3.6493508078835
2020-02-14,-2.6779263583096364
2020-02-15,-2.3265441894531023
2020-02-16,-2.0965137828479885
2020-02-17,-1.7343450372869091
2020-02-18,-1.2003540039062273
2020-02-19,-1.5663679643110568
2020-02-20,-1.9214926979758296
2020-02-21,-1.9269192782315114
2020-02-22,-1.856351540305375
2020-02-23,-1.781466952237193
2020-02-24,-1.809573641690318
2020-02-25,-2.3930475408380456
2020-02-26,-3.0985473632812273
2020-02-27,-2.5849143288352043
2020-02-28,-1.9738247958096364
2020-02-29,-0.31536458333331047
2020-03-01,-1.701541415127818
2020-03-02,-2.041193736683216
2020-03-03,-1.9515386408025341
2020-03-04,-1.7516041148792387
2020-03-05,-1.6467429421164546
2020-03-06,-0.822662908380659
2020-03-07,-0.232294810901966
2020-03-08,0.22274447354405683
2020-03-09,0.6414289994673523
2020-03-10,0.9111960671165
2020-03-11,0.8789556329900795
2020-03-12,0.904967706853716
2020-03-13,1.066799649325307
2020-03-14,1.5406433105468977
2020-03-15,1.7397205699574092
2020-03-16,1.9657115589488863
2020-03-17,2.3182533957741707
2020-03-18,2.411617764559682
2020-03-19,2.3665682705966136
2020-03-20,2.151821621981557
2020-03-21,2.5728892933238865
2020-03-22,2.684331165660534
2020-03-23,2.6629216974432044
2020-03-24,2.8465459650213294
2020-03-25,2.839321621981557
2020-03-26,2.6671636408025794
2020-03-27,2.835201748934682
2020-03-28,3.60656960227275
2020-03-29,4.196174760298319
2020-03-30,4.7212546608665
2020-03-31,5.014675625887807
2020-04-01,4.833453924005704
2020-04-02,4.703576660156273
2020-04-03,4.574254261363659
2020-04-04,4.576734508167636
2020-04-05,5.067673561789795
2020-04-06,5.367736261541216
2020-04-07,5.56153952858667
2020-04-08,5.863838334517069
2020-04-09,5.758278031782694
2020-04-10,5.989157381924739
2020-04-11,6.554381769353716
2020-04-12,6.882018488103716
2020-04-13,6.782489568536954
2020-04-14,6.51606833718042
2020-04-15,6.590556196732977
2020-04-16,6.778561123934682
2020-04-17,7.052467484907694
2020-04-18,7.800408935546898
2020-04-19,8.15307839133525
2020-04-20,8.19627741033383
2020-04-21,8.356564053622181
2020-04-22,8.62630337801849
2020-04-23,8.811531205610818
2020-04-24,9.094906338778431
2020-04-25,9.347602982954568
2020-04-26,9.439266690340931
2020-04-27,9.145898437500023
2020-04-28,9.175811212713091
2020-04-29,9.515005770596614
2020-04-30,9.638926558061103
2020-05-01,9.751369961825306
2020-05-02,10.1101706764915
2020-05-03,10.56392544833099
2020-05-04,10.974259255149171
2020-05-05,11.091904518821046
2020-05-06,11.397418767755704
2020-05-07,11.562929465554
2020-05-08,11.605465420809681
2020-05-09,11.635489169034114
2020-05-10,11.892771772904853
2020-05-11,11.990613902698886
2020-05-12,11.915723765980136
2020-05-13,12.169058504971614
2020-05-14,12.595635986328148
2020-05-15,13.030195201527011
2020-05-16,13.346695778586671
2020-05-17,13.387095503373603
2020-05-18,13.274643776633546
2020-05-19,13.184922096946046
2020-05-20,13.491651500355136
2020-05-21,13.840786465731556
2020-05-22,14.367750133167636
2020-05-23,14.75816705877133
2020-05-24,14.813944868607978
2020-05-25,15.08755992542616
2020-05-26,15.483370139382124
2020-05-27,15.97691705877133
2020-05-28,16.383549915660534
2020-05-29,16.726392711292636
2020-05-30,16.771389493075308
2020-05-31,16.814352694424738
2020-06-01,16.76897028142758
2020-06-02,16.71523992365059
2020-06-03,17.130057040127863
2020-06-04,17.5376081986861
2020-06-05,17.81168934215201
2020-06-06,17.76204001686792
2020-06-07,17.753470126065363
2020-06-08,17.87565973455258
2020-06-09,17.74689497514207
2020-06-10,17.763368918679
2020-06-11,17.830477072975874
2020-06-12,17.87962701970883
2020-06-13,17.927001398259964
2020-06-14,18.15141102183951
2020-06-15,18.448546808416214
2020-06-16,18.910743852095194
2020-06-17,19.071133145419058
2020-06-18,19.225374533913374
2020-06-19,19.40297019264917
2020-06-20,19.551002641157694
2020-06-21,19.90571677468042
2020-06-22,19.920423473011386
2020-06-23,19.844462446732976
2020-06-24,19.891648171164796
2020-06-25,20.004091574929
2020-06-26,20.251098077947464
2020-06-27,20.34921764026991
