,Country,Population,Code,Continent,Lat,Lon,Alt
117,Nigeria,195874740,'NGA','Africa',9.082,8.6753,979.4545454545455
118,Norway,5311916,'NOR','Europe',60.472,8.4689,300.44262295081967
119,Oman,4829483,'OMN','Asia',21.512583,55.923255,312.5
120,Pakistan,212215030,'PAK','Asia',30.3753,69.3451,1513.5
121,Panama,4176873,'PAN','North America',8.538,-80.7821,81.0
122,Papua New Guinea,8606316,'PNG','Oceania',-6.314993,143.95555,1469.1538461538462
123,Paraguay,6956071,'PRY','South America',-23.4425,-58.4438,631.375
124,Peru,31989256,'PER','South America',-9.19,-75.0152,3124.095238095238
125,Philippines,106651922,'PHL','Asia',12.879721,121.774017,182.609375
126,Poland,37974750,'POL','Europe',51.9194,19.1451,452.07894736842104
127,Portugal,10283822,'PRT','Europe',39.3999,-8.2245,440.59375
128,Romania,19472545,'ROU','Europe',45.9432,24.9668,628.8947368421053
129,Russia,144477860,'RUS','Asia',61.52401,105.318756,542.7394957983194
130,Rwanda,12301939,'RWA','Africa',-1.9403,29.8739,5044.333333333333
131,Saint Kitts and Nevis,52438,'KNA','North America',17.357822,-62.782998,92.0
132,Saint Lucia,181889,'LCA','North America',13.9094,-60.9789,18.0
133,Saint Vincent and the Grenadines,110210,'VCT','North America',12.9843,-61.2872,23.2
134,Samoa,196130,'WSM','Oceania',-13.759,-172.1046,63.0
135,Sao Tome and Principe,211028,'STP','Africa',0.1864,6.6131,312.0
136,Saudi Arabia,33699947,'SAU','Asia',23.885942,45.079162,1903.340909090909
137,Senegal,15854360,'SEN','Africa',14.4974,-14.4524,130.55555555555554
138,Serbia,6982604,'SRB','Europe',44.0165,21.0059,662.6
139,Seychelles,96762,'SYC','Africa',-4.6796,55.492,9.5
140,Sierra Leone,7650154,'SLE','Africa',8.460555,-11.779889,335.14285714285717
141,Singapore,5638676,'SGP','Asia',1.2833,103.8333,46.833333333333336
142,Slovakia,5446771,'SVK','Europe',48.669,19.699,938.75
143,Slovenia,2073894,'SVN','Europe',46.1512,14.9955,862.2
144,Solomon Islands,652858,'SLB','Oceania',-9.6457,160.1562,12.565217391304348
145,Somalia,15008154,'SOM','Africa',5.152149,46.199616,1114.375
146,South Africa,57779622,'ZAF','Africa',-30.5595,22.9375,3071.3229166666665
147,South Sudan,10975920,'SSD','Africa',6.877,31.307,1781.5
148,Spain,46797754,'ESP','Europe',40.463667,-3.74922,991.1290322580645
149,Sri Lanka,21670000,'LKA','Asia',7.873054,80.771797,133.5
150,Sudan,41801533,'SDN','Africa',12.8628,30.2176,1498.888888888889
151,Suriname,575987,'SUR','South America',3.9193,-56.0278,330.75
152,Sweden,10175214,'SWE','Europe',60.128161,18.643501,424.94805194805195
153,Switzerland,8514329,'CHE','Europe',46.8182,8.2275,1729.878048780488
154,Taiwan,23559999,'TWA','Asia',23.7,121.0,146.75
155,Tajikistan,9100837,'TJK','Asia',38.861,71.2761,1947.75
156,Tanzania,56318348,'TZA','Africa',-6.369028,34.888822,2694.0
157,Thailand,69428524,'THA','Asia',15.870032,100.992541,359.66
158,Togo,7889094,'TGO','Africa',8.6195,0.8248,793.5
159,Trinidad and Tobago,1389858,'TTO','North America',10.6918,-61.2225,48.0
160,Tunisia,11565204,'TUN','Africa',33.886917,9.537499,308.25
161,Turkey,82319724,'TUR','Asia',38.9637,35.2433,1871.611111111111
162,Uganda,42723139,'UGA','Africa',1.373333,32.290275,3833.8
163,Ukraine,44622518,'UKR','Europe',48.3794,31.1656,523.6666666666666
164,United Arab Emirates,9630959,'ARE','Asia',23.424076,53.847818,137.41176470588235
165,United Kingdom,66460344,'GBR','Europe',55.3781,-3.436,180.8641975308642
166,United States,326687501,'USA','North America',39.01787888,-108.469799,1113.1512195121952
167,Uruguay,3449299,'URY','South America',-32.5228,-55.7658,238.36363636363637
168,Uzbekistan,32956100,'UZB','Asia',41.377491,64.585262,1182.3076923076924
169,Vanuatu,292680,'VUT','Oceania',-15.3767,166.9592,129.48275862068965
170,Venezuela,28870195,'VEN','South America',6.4238,-66.5897,760.1052631578947
171,Vietnam,95540395,'VNM','Asia',14.058324,108.277199,487.5
172,Yemen,28498687,'YEM','Asia',15.552727,48.516388,2088.7272727272725
173,Zambia,17351822,'ZMB','Africa',-13.133897,27.849332,3356.9166666666665
174,Zimbabwe,14439018,'ZWE','Africa',-19.015438,29.154857,3270.5333333333333
